Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20000,2,0,123,6.36,0.000%,110.58950,23.54,14.15,218.0
TOTAL,20000,2,0,123,6.36,0.000%,110.58950,23.54,14.15,218.0
