Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,20000,2,2,3,3,17,0,123,0.000%,110.58950,23.54,14.15
TOTAL,20000,2,2,3,3,17,0,123,0.000%,110.58950,23.54,14.15
