Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20000,3,2,353,6.65,0.000%,110.42708,36.02,14.13,334.0
TOTAL,20000,3,2,353,6.65,0.000%,110.42708,36.02,14.13,334.0
