Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,20000,2,2,3,4,18,1,119,0.000%,110.28702,17.88,14.11
TOTAL,20000,2,2,3,4,18,1,119,0.000%,110.28702,17.88,14.11
