Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20000,2,1,119,4.89,0.000%,110.28702,17.88,14.11,166.0
TOTAL,20000,2,1,119,4.89,0.000%,110.28702,17.88,14.11,166.0
