Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,20000,3,4,5,5,7,3,22,0.000%,110.43317,16.61,14.13
TOTAL,20000,3,4,5,5,7,3,22,0.000%,110.43317,16.61,14.13
