Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20000,3,3,22,0.99,0.000%,110.43317,16.61,14.13,154.0
TOTAL,20000,3,3,22,0.99,0.000%,110.43317,16.61,14.13,154.0
