Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20000,2,1,163,4.50,0.000%,110.55710,22.13,14.14,205.0
TOTAL,20000,2,1,163,4.50,0.000%,110.55710,22.13,14.14,205.0
