Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,20000,2,2,3,4,16,1,163,0.000%,110.55710,22.13,14.14
TOTAL,20000,2,2,3,4,16,1,163,0.000%,110.55710,22.13,14.14
