Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20000,2,1,60,1.47,0.000%,110.57849,23.54,14.15,218.0
TOTAL,20000,2,1,60,1.47,0.000%,110.57849,23.54,14.15,218.0
